revision,author,date,time,number_of_lines
r1551925,Thomas,2015-11-27,16:57:44,1
r1551575,Thomas,2015-11-27,09:46:32,1
r1551569,Vincent,2015-11-27,09:38:09,1
r1551558,Thomas,2015-11-27,09:13:26,1
r1551504,/OU=Domain Control Validated/CN=svn.company.net,2015-11-27,07:05:41,1
r1551486,Vincent,2015-11-27,06:10:10,1
r1551485,Vincent,2015-11-27,06:06:30,1
r1551375,Vincent,2015-11-26,15:01:51,1
r1551347,Vincent,2015-11-26,14:35:32,1
r1551334,Vincent,2015-11-26,14:20:12,1
r1551332,Vincent,2015-11-26,14:17:48,4
r1551313,Vincent,2015-11-26,13:58:15,4
r1551307,Thomas,2015-11-26,13:48:29,1
r1551294,Vincent,2015-11-26,13:30:16,4
r1551249,Vincent,2015-11-26,12:16:06,5
r1551248,Vincent,2015-11-26,12:15:26,5
r1551105,Thomas,2015-11-26,09:17:08,1
r1551061,Vincent,2015-11-26,07:33:33,3
r1550863,Thomas,2015-11-25,16:42:06,1
r1550724,Thomas,2015-11-25,14:17:42,1
r1550591,Thomas,2015-11-25,11:29:15,3
r1550580,Thomas,2015-11-25,11:15:27,1
r1550503,Thomas,2015-11-25,09:26:22,1
r1550097,Vincent,2015-11-24,14:41:53,3
r1550089,Thomas,2015-11-24,14:28:19,2
r1550060,Vincent,2015-11-24,13:58:25,4
r1550046,Vincent,2015-11-24,13:42:26,4
r1549398,Thomas,2015-11-23,16:32:45,1
r1549355,/OU=Domain Control Validated/CN=svn.company.net,2015-11-23,15:34:21,1
r1549331,Thomas,2015-11-23,15:20:49,1
r1549294,Jimmy,2015-11-23,15:02:18,2
r1549111,Thomas,2015-11-23,11:46:06,1
r1548946,Vincent,2015-11-23,05:50:12,5
r1548632,Thomas,2015-11-20,16:36:17,1
r1548595,Thomas,2015-11-20,15:43:36,1
r1548398,Thomas,2015-11-20,13:06:04,1
r1548384,Thomas,2015-11-20,12:57:08,1
r1548364,Thomas,2015-11-20,12:42:14,2
r1548358,Thomas,2015-11-20,12:40:31,2
r1548357,Thomas,2015-11-20,12:39:03,2
r1548355,Thomas,2015-11-20,12:37:26,2
r1548352,Thomas,2015-11-20,12:35:47,2
r1548350,Thomas,2015-11-20,12:33:51,2
r1548342,Thomas,2015-11-20,12:28:01,2
r1548336,Thomas,2015-11-20,12:26:32,2
r1547894,/OU=Domain Control Validated/CN=svn.company.net,2015-11-19,16:41:58,1
r1547749,Freddie,2015-11-19,13:53:23,2
r1547748,Jimmy,2015-11-19,13:51:15,1
r1547738,Jimmy,2015-11-19,13:35:41,1
r1547683,Jimmy,2015-11-19,12:26:49,1
r1547493,Vincent,2015-11-19,06:31:05,4
r1546917,Vincent,2015-11-18,09:06:34,3
r1546493,/OU=Domain Control Validated/CN=svn.company.net,2015-11-17,15:38:50,1
r1546460,Vincent,2015-11-17,14:56:49,3
r1546414,Thomas,2015-11-17,14:09:45,7
r1545714,/OU=Domain Control Validated/CN=svn.company.net,2015-11-16,15:35:27,1
r1545674,Jimmy,2015-11-16,14:47:41,1
r1545670,Jimmy,2015-11-16,14:40:00,1
r1545663,Jimmy,2015-11-16,14:35:39,1
r1545657,Jimmy,2015-11-16,14:30:47,1
r1545652,Jimmy,2015-11-16,14:26:50,1
r1545628,Jimmy,2015-11-16,13:45:04,1
r1544560,Dave,2015-11-12,20:10:20,1
r1544422,Jimmy,2015-11-12,15:48:11,1
r1544421,Jimmy,2015-11-12,15:47:49,1
r1544404,Jimmy,2015-11-12,15:31:13,1
r1544362,Jimmy,2015-11-12,14:37:08,1
r1544360,Jimmy,2015-11-12,14:31:35,1
r1544350,Jimmy,2015-11-12,14:27:36,1
r1544342,Jimmy,2015-11-12,14:16:04,1
r1544339,Jimmy,2015-11-12,14:11:02,1
r1544282,Thomas,2015-11-12,11:44:34,3
r1544253,Thomas,2015-11-12,10:32:06,2
r1544250,Thomas,2015-11-12,10:27:58,5
r1541334,Vincent,2015-11-05,16:31:34,5
r1540927,Vincent,2015-11-04,20:47:04,4
r1540926,Vincent,2015-11-04,20:34:30,5
r1540834,Vincent,2015-11-04,16:37:55,3
r1540809,Vincent,2015-11-04,16:15:14,3
r1540172,Jimmy,2015-11-03,14:59:39,1
r1540168,/OU=Domain Control Validated/CN=svn.company.net,2015-11-03,14:50:34,1
r1540148,Jimmy,2015-11-03,14:35:14,1
r1539956,Jimmy,2015-11-03,10:32:49,1
r1539933,Thomas,2015-11-03,09:59:13,1
r1539930,Thomas,2015-11-03,09:57:23,1
r1539664,ajon0002,2015-11-02,15:15:35,1
r1539662,ajon0002,2015-11-02,15:13:19,6
r1539659,ajon0002,2015-11-02,15:09:41,3
r1539656,ajon0002,2015-11-02,15:06:09,4
r1539654,ajon0002,2015-11-02,15:02:56,2
r1539651,ajon0002,2015-11-02,15:00:59,1
r1539648,ajon0002,2015-11-02,15:00:06,2
r1539645,ajon0002,2015-11-02,14:58:00,2
r1539640,ajon0002,2015-11-02,14:55:02,3
r1539452,Thomas,2015-11-02,11:38:15,1
r1539443,Thomas,2015-11-02,11:32:59,1
r1539019,Thomas,2015-10-30,16:07:02,1
r1538990,Thomas,2015-10-30,15:30:32,1
r1538828,Jimmy,2015-10-30,12:22:31,1
r1538795,Thomas,2015-10-30,11:13:31,1
r1538793,Thomas,2015-10-30,11:09:24,1
r1538454,Thomas,2015-10-29,15:24:47,2
r1538444,Thomas,2015-10-29,15:13:29,1
r1538425,Thomas,2015-10-29,14:49:23,1
r1538416,Thomas,2015-10-29,14:38:14,1
r1538410,Thomas,2015-10-29,14:30:41,2
r1538393,Thomas,2015-10-29,13:55:08,1
r1538367,Thomas,2015-10-29,13:12:13,1
r1538359,Thomas,2015-10-29,13:03:24,1
r1538288,Thomas,2015-10-29,11:30:26,1
r1538283,Thomas,2015-10-29,11:25:18,1
r1538264,Jimmy,2015-10-29,10:59:57,1
r1538234,Jimmy,2015-10-29,10:05:43,1
r1538198,Thomas,2015-10-29,08:46:06,1
r1537920,Thomas,2015-10-28,15:10:05,2
r1537919,Thomas,2015-10-28,15:07:07,1
r1537915,Thomas,2015-10-28,15:02:17,1
r1537911,Thomas,2015-10-28,14:57:51,1
r1537697,Jimmy,2015-10-28,09:36:03,1
r1537528,Vincent,2015-10-27,18:12:29,1
r1537485,Jimmy,2015-10-27,16:58:28,1
r1537460,Jimmy,2015-10-27,16:28:16,1
r1537454,Jimmy,2015-10-27,16:04:20,1
r1537452,Jimmy,2015-10-27,16:01:15,1
r1537319,Vincent,2015-10-27,13:15:19,2
r1536385,Jimmy,2015-10-23,17:03:31,1
r1536330,Jimmy,2015-10-23,16:07:36,1
r1536312,Jimmy,2015-10-23,15:53:51,1
r1536311,Jimmy,2015-10-23,15:53:31,1
r1536126,Jimmy,2015-10-23,13:40:49,1
r1536118,Jimmy,2015-10-23,13:30:01,1
r1536037,Jimmy,2015-10-23,11:57:54,1
r1536002,Jimmy,2015-10-23,10:59:01,1
r1535957,Jimmy,2015-10-23,10:00:03,1
r1535594,Jimmy,2015-10-22,14:42:26,1
r1535593,Jimmy,2015-10-22,14:40:39,1
r1535587,Jimmy,2015-10-22,14:35:31,1
r1535571,Jimmy,2015-10-22,14:23:01,1
r1535537,Jimmy,2015-10-22,14:08:58,1
r1535523,Jimmy,2015-10-22,13:52:30,1
r1535517,Jimmy,2015-10-22,13:42:47,1
r1535516,Jimmy,2015-10-22,13:36:58,1
r1535453,Jimmy,2015-10-22,11:26:04,1
r1535452,Jimmy,2015-10-22,11:25:35,1
r1535451,Jimmy,2015-10-22,11:25:18,1
r1533128,Thomas,2015-10-16,11:55:48,2
r1533115,Thomas,2015-10-16,11:32:58,1
r1533097,Thomas,2015-10-16,11:13:18,1
r1533092,Thomas,2015-10-16,11:04:56,1
r1532755,Thomas,2015-10-15,16:50:56,2
r1532018,Jimmy,2015-10-14,14:51:25,1
r1532015,Jimmy,2015-10-14,14:49:17,1
r1531912,Jimmy,2015-10-14,12:50:27,1
r1531903,Jimmy,2015-10-14,12:40:19,1
r1531479,Thomas,2015-10-13,15:54:58,4
r1530186,/OU=Domain Control Validated/CN=svn.company.net,2015-10-09,14:34:54,1
r1530155,Thomas,2015-10-09,13:58:14,1
r1530104,Jimmy,2015-10-09,12:52:44,1
r1530087,Jimmy,2015-10-09,12:30:40,1
r1530077,Jimmy,2015-10-09,12:10:54,1
r1530022,Thomas,2015-10-09,11:17:08,1
r1530019,Thomas,2015-10-09,11:09:59,1
r1529976,Thomas,2015-10-09,10:13:54,1
r1529934,Thomas,2015-10-09,09:24:07,1
r1529923,Thomas,2015-10-09,09:06:45,1
r1529916,Thomas,2015-10-09,08:55:33,1
r1529913,Thomas,2015-10-09,08:53:15,1
r1529617,Thomas,2015-10-08,14:55:59,2
r1529611,Thomas,2015-10-08,14:49:55,1
r1529597,Thomas,2015-10-08,14:38:16,1
r1528989,Thomas,2015-10-07,15:19:21,1
r1528947,Thomas,2015-10-07,14:44:23,1
r1528925,Thomas,2015-10-07,14:23:29,1
r1528923,Thomas,2015-10-07,14:19:38,1
r1528922,Thomas,2015-10-07,14:19:14,1
r1528797,Thomas,2015-10-07,11:06:28,1
